date,death,positive
2021/3/7,515148,28756184
2021/3/6,514309,28714654
2021/3/5,512629,28654639
2021/3/4,510408,28585852
2021/3/3,508665,28520365
2021/3/2,506216,28453529
2021/3/1,504488,28399281
2021/2/28,503247,28351189
2021/2/27,502196,28296840
2021/2/26,500349,28225595
2021/2/25,498208,28150738
2021/2/24,495070,28075173
2021/2/23,492623,28001915
2021/2/22,490382,27932810
2021/2/21,489147,27880280
2021/2/20,487860,27821578
2021/2/19,485700,27749224
2021/2/18,483223,27674548
2021/2/17,480607,27607724
2021/2/16,478259,27540885
2021/2/15,476906,27484573
2021/2/14,475828,27429496
2021/2/13,474462,27357332
2021/2/12,470995,27266690
2021/2/11,465568,27165660
2021/2/10,461695,27063243
2021/2/9,458250,26968049
2021/2/8,455455,26875063
2021/2/7,454146,26797326
2021/2/6,452671,26701332
2021/2/5,449677,26586775
2021/2/4,446134,26455629
2021/2/3,440922,26331722
2021/2/2,437237,26214762
2021/2/1,433751,26097146
2021/1/31,432189,25976946
2021/1/30,430130,25857579
2021/1/29,427148,25708755
2021/1/28,423645,25541644
2021/1/27,419634,25384338
2021/1/26,415557,25230353
2021/1/25,411823,25083905
2021/1/24,410230,24950451
2021/1/23,408286,24806217
2021/1/22,404695,24629099
2021/1/21,400715,24438184
2021/1/20,396837,24251909
2021/1/19,392428,24062706
2021/1/18,390287,23916080
2021/1/17,388892,23765288
2021/1/16,386839,23578070
2021/1/15,383130,23359985
2021/1/14,379451,23113531
2021/1/13,375536,22887915
2021/1/12,371449,22663424
2021/1/11,367385,22445404
2021/1/10,365652,22250149
2021/1/9,363584,22021417
2021/1/8,360047,21752049
2021/1/7,356267,21456928
2021/1/6,352188,21184885
2021/1/5,348286,20934701
2021/1/4,344802,20715626
2021/1/3,343255,20536055
2021/1/2,341800,20327598
2021/1/1,339394,20047280
2020/12/31,336802,19864374
2020/12/30,333505,19638128
2020/12/29,329605,19408632
2020/12/28,326316,19208953
2020/12/27,324826,19044826
2020/12/26,323429,18891286
2020/12/25,322003,18700692
2020/12/24,320450,18573896
2020/12/23,317492,18367212
2020/12/22,314099,18142686
2020/12/21,310962,17949678
2020/12/20,309482,17770272
2020/12/19,307814,17572778
2020/12/18,305106,17367905
2020/12/17,302240,17126119
2020/12/16,298775,16883149
2020/12/15,295322,16648861
2020/12/14,292398,16455643
2020/12/13,291041,16262357
2020/12/12,289540,16075106
2020/12/11,287043,15848202
2020/12/10,284296,15611269
2020/12/9,281164,15390423
2020/12/8,277995,15173695
2020/12/7,275315,14955851
2020/12/6,274024,14773954
2020/12/5,272861,14591374
2020/12/4,270375,14372304
2020/12/3,267812,14141991
2020/12/2,264990,13925720
2020/12/1,262179,13722291
2020/11/30,259690,13541108
2020/11/29,258653,13391077
2020/11/28,257828,13253823
2020/11/27,256585,13102354
2020/11/26,255181,12903480
2020/11/25,253789,12773716
2020/11/24,251508,12585220
2020/11/23,249417,12418717
2020/11/22,248564,12264021
2020/11/21,247641,12109833
2020/11/20,246090,11923448
2020/11/19,244180,11726284
2020/11/18,242170,11538352
2020/11/17,240285,11370132
2020/11/16,238732,11210306
2020/11/15,238125,11060329
2020/11/14,237413,10913267
2020/11/13,236060,10745541
2020/11/12,234759,10570908
2020/11/11,233647,10413366
2020/11/10,232070,10264033
2020/11/9,230712,10128464
2020/11/8,230135,10010061
2020/11/7,229622,9897616
2020/11/6,228497,9765503
2020/11/5,227312,9635513
2020/11/4,226158,9516490
2020/11/3,225027,9410494
2020/11/2,223510,9290545
2020/11/1,223035,9207091
2020/10/31,222625,9065118
2020/10/30,221667,8973824
2020/10/29,220720,8875882
2020/10/28,219660,8786517
2020/10/27,218613,8706817
2020/10/26,217691,8634562
2020/10/25,217294,8571132
2020/10/24,216903,8506661
2020/10/23,216007,8422869
2020/10/22,215058,8340294
2020/10/21,213941,8266875
2020/10/20,212913,8205165
2020/10/19,212080,8144591
2020/10/18,211637,8086941
2020/10/17,211232,8038984
2020/10/16,210452,7981309
2020/10/15,209561,7912804
2020/10/14,208633,7849163
2020/10/13,207832,7791923
2020/10/12,207114,7744944
2020/10/11,206829,7701710
2020/10/10,206358,7655038
2020/10/9,205667,7597403
2020/10/8,204754,7540410
2020/10/7,203775,7485102
2020/10/6,202846,7433886
2020/10/5,202233,7395040
2020/10/4,201902,7357288
2020/10/3,201522,7319123
2020/10/2,200784,7268249
2020/10/1,199942,7218822
2020/9/30,199080,7173102
2020/9/29,198016,7128193
2020/9/28,197292,7091427
2020/9/27,197046,7056051
2020/9/26,196736,7021061
2020/9/25,195863,6973793
2020/9/24,195016,6918556
2020/9/23,194078,6875215
2020/9/22,192922,6835717
2020/9/21,192063,6786731
2020/9/20,191782,6747569
2020/9/19,191455,6712036
2020/9/18,190708,6666368
2020/9/17,189807,6619479
2020/9/16,188927,6575837
2020/9/15,187737,6535518
2020/9/14,186703,6500740
2020/9/13,186296,6467168
2020/9/12,185904,6432589
2020/9/11,185087,6390739
2020/9/10,184072,6346041
2020/9/9,182911,6308632
2020/9/8,181823,6277899
2020/9/7,181476,6255589
2020/9/6,181249,6227472
2020/9/5,180797,6194439
2020/9/4,179871,6149579
2020/9/3,178872,6097979
2020/9/2,177800,6053336
2020/9/1,176765,6022681
2020/8/31,175751,5980439
2020/8/30,175371,5948719
2020/8/29,174894,5909953
2020/8/28,173877,5865958
2020/8/27,172857,5819843
2020/8/26,171729,5775732
2020/8/25,170429,5731401
2020/8/24,169289,5694562
2020/8/23,168948,5660019
2020/8/22,168371,5622119
2020/8/21,167336,5576065
2020/8/20,166217,5529609
2020/8/19,165088,5485765
2020/8/18,163677,5440692
2020/8/17,162498,5400622
2020/8/16,162087,5362871
2020/8/15,161470,5320368
2020/8/14,160243,5264322
2020/8/13,159017,5207221
2020/8/12,157854,5155458
2020/8/11,156337,5099272
2020/8/10,155017,5044337
2020/8/9,154587,5002967
2020/8/8,153966,4952201
2020/8/7,152880,4898672
2020/8/6,151557,4837849
2020/8/5,150316,4783801
2020/8/4,148961,4731103
2020/8/3,147720,4679905
2020/8/2,147204,4637167
2020/8/1,146708,4583866
2020/7/31,145507,4523187
2020/7/30,144179,4455360
2020/7/29,142931,4386399
2020/7/28,141428,4322256
2020/7/27,140317,4263799
2020/7/26,139251,4209320
2020/7/25,138690,4148552
2020/7/24,137676,4083707
2020/7/23,136501,4008646
2020/7/22,135431,3937210
2020/7/21,134282,3867788
2020/7/20,133241,3804868
2020/7/19,132865,3748205
2020/7/18,132338,3683975
2020/7/17,131462,3619225
2020/7/16,130523,3542701
2020/7/15,129582,3472212
2020/7/14,128719,3402839
2020/7/13,127978,3344230
2020/7/12,127649,3287070
2020/7/11,127177,3225465
2020/7/10,126422,3162896
2020/7/9,125583,3095785
2020/7/8,124720,3036723
2020/7/7,123901,2973910
2020/7/6,122996,2922920
2020/7/5,122759,2881995
2020/7/4,122550,2836661
2020/7/3,122254,2781780
2020/7/2,121651,2727581
2020/7/1,120952,2674070
2020/6/30,120254,2623024
2020/6/29,119675,2576014
2020/6/28,119339,2536616
2020/6/27,119066,2494871
2020/6/26,118558,2451813
2020/6/25,117940,2407473
2020/6/24,117292,2367766
2020/6/23,116588,2328649
2020/6/22,115864,2295202
2020/6/21,115576,2268373
2020/6/20,115283,2239185
2020/6/19,114668,2206949
2020/6/18,114016,2176084
2020/6/17,113334,2149042
2020/6/16,112554,2124889
2020/6/15,111834,2102051
2020/6/14,111449,2083796
2020/6/13,111094,2062138
2020/6/12,110400,2036685
2020/6/11,109634,2013544
2020/6/10,108738,1991553
2020/6/9,107845,1970673
2020/6/8,106959,1953757
2020/6/7,106284,1936834
2020/6/6,105837,1917778
2020/6/5,105123,1895032
2020/6/4,104288,1871982
2020/6/3,103405,1851505
2020/6/2,102430,1831323
2020/6/1,101459,1811444
2020/5/31,100780,1791343
2020/5/30,100125,1769702
2020/5/29,99202,1746106
2020/5/28,98028,1722488
2020/5/27,96793,1699689
2020/5/26,95458,1680517
2020/5/25,94793,1663827
2020/5/24,94237,1645272
2020/5/23,93549,1626210
2020/5/22,92509,1603649
2020/5/21,91219,1579534
2020/5/20,89839,1552703
2020/5/19,88442,1531410
2020/5/18,87125,1510723
2020/5/17,86271,1490126
2020/5/16,85398,1469690
2020/5/15,84161,1445947
2020/5/14,82623,1420457
2020/5/13,80770,1393684
2020/5/12,79040,1372184
2020/5/11,77531,1349742
2020/5/10,76640,1331602
2020/5/9,75605,1310486
2020/5/8,74149,1285166
2020/5/7,72365,1257969
2020/5/6,69617,1230740
2020/5/5,67699,1205484
2020/5/4,65209,1183140
2020/5/3,64181,1160945
2020/5/2,62933,1135156
2020/5/1,61406,1105960
2020/4/30,59597,1073152
2020/4/29,57437,1043106
2020/4/28,54761,1016930
2020/4/27,52683,991696
2020/4/26,51393,969289
2020/4/25,50174,941975
2020/4/24,48545,906241
2020/4/23,46571,872015
2020/4/22,44762,840062
2020/4/21,42677,810886
2020/4/20,40198,784847
2020/4/19,38382,758880
2020/4/18,36619,731357
2020/4/17,34724,703407
2020/4/16,32606,671423
2020/4/15,30412,639896
2020/4/14,27867,609913
2020/4/13,25515,584001
2020/4/12,23882,559749
2020/4/11,22182,531622
2020/4/10,20107,500340
2020/4/9,18024,466608
2020/4/8,15973,431647
2020/4/7,13970,400651
2020/4/6,11932,370221
2020/4/5,10618,341959
2020/4/4,9276,316082
2020/4/3,7798,282980
2020/4/2,6511,251142
2020/4/1,5336,223071
2020/3/31,4330,196814
2020/3/30,3422,171867
2020/3/29,2837,150680
2020/3/28,2332,130999
2020/3/27,1781,111219
2020/3/26,1371,91996
2020/3/25,1058,74392
2020/3/24,817,61756
2020/3/23,581,50873
2020/3/22,480,39691
2020/3/21,335,30462
2020/3/20,273,23522
2020/3/19,203,17427
2020/3/18,152,12816
2020/3/17,124,9464
2020/3/16,102,7377
2020/3/15,80,5664
2020/3/14,65,4376
2020/3/13,57,3350
2020/3/12,52,2505
2020/3/11,43,1823
2020/3/10,37,1405
2020/3/9,35,1020
2020/3/8,31,744
2020/3/7,27,574
2020/3/6,26,437
2020/3/5,20,305
2020/3/4,16,240
2020/3/3,14,114
2020/3/2,11,72
2020/3/1,8,42
